Latitud;Longitud;LCOEnet;LCOEgross;TIR;Payback;Payback_simple;BCratio;CAPEX_USD;CashFlow_USD;NPV_USD;PV_kWdc;BESS_kWh;BESS_inverter_kW;PV_inverter_kW;Load_kWh;Grid_import_kWh;Grid_export_kWh;BESS_charge_kWh;BESS_discharge_kWh;PV_generated_kWh;PV_used_kWh;PV_clipping_kWh
4,616138;-74,351443;-335,9530676;173,6757315;29,05351267;4,121489164;3,420963951;2,935215842;11670541,35;3411477,442;29550937,11;13386,65185;22223,38694;3376,079384;5376,079384;8760000;0;5170100,635;7407030,536;6876006,329;15247144,79;14461124,84;786019,9489
7,578366;-75,35205;-356,2658297;162,0113982;31,91589623;3,705166524;3,120930789;3,21739515;10912749,53;3496632,983;31337678,21;10830,13016;23877,39923;3943,214427;5943,214427;8760000;0;5694960,305;7997270,03;7422386,612;15608490,8;15029843,72;578647,0805
5,54853;-75,643868;-350,3097259;164,5814268;31,16631278;3,806027544;3,194471487;3,14332672;11074023,59;3466621,517;30813770,37;11604,79414;23144,96906;3623,683241;5623,683241;8760000;0;5639299,285;7775928,535;7217359,67;16002723,32;14957868,15;1044855,174
6,186636;-67,487095;-357,6626282;164,5048916;31,63764015;3,741990839;3,147844258;3,189887033;11083293,18;3520915,355;31460542,71;10521,84327;25214,89907;4092,147254;6092,147254;8760000;0;5739383,796;8193973,82;7603202,952;16212358,09;15090154,66;1122203,424
11,711904;-72,265906;-364,0418607;163,9406253;32,14889238;3,674873658;3,098735722;3,240440128;11044283,34;3564125,608;32021669,6;10354,9548;25419,45459;4033,832163;6033,832163;8760000;0;6534311,471;8591030,012;7974581,687;17297587,5;15910759,8;1386827,707
1,807399;-78,764073;-342,8644857;168,9300663;30,06766894;3,963943114;3,308512871;3,03497915;11371495,45;3437041,322;30158875,84;12266,09428;22936,78559;3934,336414;5934,336414;8760000;0;5252490,073;7619805,437;7077435,571;15459919,06;14554859,94;905059,1215
-1,005674;-74,014461;-345,7034086;166,9460239;30,52829848;3,896202459;3,259756388;3,080373619;11234262,73;3446350,399;30408591,77;11862,61807;23268,58594;3734,389574;5734,389574;;;;;;;;
8,512178;-77,279951;-347,8397563;166,9582544;30,65636822;3,877768236;3,246445854;3,093003251;11240574,08;3462424,627;30596508,12;11807,25205;23312,44771;3928,421254;5928,421254;8760000;0;5508896,241;7762895,111;7205468,581;15562419,87;14826322,77;736097,0943
1,253151;-70,232641;-344,9834291;169,5077135;30,13417107;3,954021649;3,301387181;3,041529828;11407865,95;3455476,539;30345261,29;12111,19843;23467,50874;3853,342199;5853,342199;8760000;0;5206163,055;7625098,521;7082797,789;15177388,11;14508463,79;668924,3227
7,02702;-71,426733;-350,6833306;164,719995;31,16368821;3,806390133;3,19473487;3,143067576;11087076,56;3470421,495;30846633,19;11401,08787;23564,42662;3751,973426;5751,973426;8760000;0;5328464,987;7661603,531;7116693,178;15445266,94;14633375,34;811891,6044
1,632464;-66,963692;-351,0118223;167,9442091;30,72629765;3,867774408;3,239222143;3,099900884;11308596,57;3491145,736;30875527,82;11423,88941;24387,01276;3997,54194;5997,54194;8760000;0;5509382,404;7921059,676;7357717,521;15464548,8;14832724,56;631824,2362
8,791865;-74,164905;-356,7547578;161,8261674;31,98501462;3,696129221;3,114314531;3,224230399;10896515,27;3498848,674;31380685,07;10801,7836;23936,62924;3802,71815;5802,71815;8760000;0;5781356,05;8025089,977;7447932,314;16078878,32;15118513,71;960364,6042
1,805173;-75,888706;-341,3443865;170,145696;29,81532741;4,0020358;3,335822734;3,010132247;11450165,57;3432486,22;30025165,63;12562,81407;22704,52596;3865,577889;5865,577889;8760000;0;5129133,453;7502045,847;6966998,626;15247698,49;14424180,67;823517,8195
4,446352;-69,795533;-347,4774998;167,2607379;30,59824095;3,886113854;3,25247411;3,087270565;11257397,85;3461179,85;30564643,49;11731,0623;23611,09528;3806,875836;5806,875836;8760000;0;5237915,553;7668725,776;7123330,321;15550946,05;14543311,01;1007635,044
