Day,Pb_Sum,Ppv_Sum,Pd_Sum,Ppvmax_Sum,Ps_Sum,Pc_Sum,SOC_Avg,Benefit,npv
1,0.0,42219.4015694665,27424.896179801377,57455.33579902384,24000.0,21644.297749267866,11581.8387253278,445485.20739509986,30813770.365976267
2,0.0,42496.75614946987,20065.814071536777,52979.36669830005,16918.27247173877,21644.29774926787,10869.71108010482,445485.20739509986,30813770.365976267
3,0.0,42104.51410745673,19236.40454543006,47229.19120074071,15696.620903618925,21644.29774926787,11266.556473707073,445485.20739509986,30813770.365976267
4,0.0,41836.4433627673,20343.501906615045,48714.604850967946,16535.64752011446,21644.29774926787,11157.77481009206,445485.20739509986,30813770.365976267
5,0.0,41445.36180016839,21167.936259989903,45422.32475276898,16969.000310890427,21644.29774926787,10264.462713414983,445485.20739509986,30813770.365976267
6,0.0,41988.46616603273,18655.83158323514,46398.28794014485,15000.0,21644.29774926787,10756.100664493688,445485.20739509986,30813770.365976267
7,0.0,41903.751168793206,20819.792435717893,43434.42351617581,17079.24585524323,21644.297749267866,10478.090038794915,445485.20739509986,30813770.365976267
8,0.0,41731.50624622125,17302.88512711665,46595.56944056565,13390.093624070032,21644.29774926787,10588.347221205997,445485.20739509986,30813770.365976267
9,0.0,41613.6313152332,23030.66643403467,44967.41682238689,19000.0,21644.297749267873,10938.382801073652,445485.20739509986,30813770.365976267
10,0.0,41921.158360006804,18064.653592122537,43269.635439353726,14341.514202861475,21644.29774926787,10350.032790375453,445485.20739509986,30813770.365976267
11,0.0,42227.524925366175,19271.552182932166,50175.648433496135,15854.779359030472,21644.297749267866,11037.236070031044,445485.20739509986,30813770.365976267
12,0.0,42249.574034236735,22394.723715031134,50233.67240420815,19000.0,21644.297749267866,10801.79945638234,445485.20739509986,30813770.365976267
13,0.0,41450.67022797516,20576.425013802393,45886.516518464996,16382.797492509686,21644.29774926787,9980.141034556449,445485.20739509986,30813770.365976267
14,0.0,41499.90433263768,19832.55770927453,41794.666103854644,15688.164292644331,21644.29774926787,10232.954796625914,445485.20739509986,30813770.365976267
15,0.0,42208.957254738336,14661.47326611682,49571.03865867709,11226.132771587285,21644.297749267866,11075.724768703201,445485.20739509986,30813770.365976267
16,0.0,39545.65699905748,21603.36667409715,39886.83794684405,17675.98290792984,19473.04076522478,12351.020768202148,445485.20739509986,30813770.365976267
17,0.0,40374.239300824855,21033.320647938057,40608.656142501335,16846.65600313079,20560.90394563212,11054.60832616882,445485.20739509986,30813770.365976267
18,0.0,42020.95958963145,19623.33815963642,45841.25782130963,16000.0,21644.29774926787,9957.109384857455,445485.20739509986,30813770.365976267
19,0.0,42161.377598754494,19026.357771452618,45819.20871243906,15543.437620939243,21644.297749267873,10168.673976330547,445485.20739509986,30813770.365976267
20,0.0,41473.87981625997,21325.761460326547,42674.30949984859,17155.34352731864,21644.29774926787,10499.88924523987,445485.20739509986,30813770.365976267
21,0.0,39437.73241353315,18972.64246332267,39530.570766672354,14248.651087751115,20161.7237891047,9786.636597924278,445485.20739509986,30813770.365976267
22,0.0,41856.17151280937,16354.773445682544,44297.82020037039,12566.64720922404,21644.29774926787,10296.362857223712,445485.20739509986,30813770.365976267
23,0.0,42002.39191900361,21203.244611681526,44998.74976657137,17561.338781417264,21644.29774926787,10751.060976482753,445485.20739509986,30813770.365976267
24,0.0,41874.7391834372,19157.49194526174,43275.43783642492,15387.933379431077,21644.297749267866,10757.737768714831,445485.20739509986,30813770.365976267
25,0.0,38734.481888503695,18998.508664221936,38924.80051243906,14638.932586692907,19094.05796603272,11382.496377908332,445485.20739509986,30813770.365976267
26,0.0,41601.53255182638,21845.322982831174,44636.68018932849,17802.557785389676,21644.297749267873,10876.410263524007,445485.20739509986,30813770.365976267
27,0.0,41983.82424837577,19933.519418313415,46321.69629880501,16273.045917421317,21644.29774926787,10052.466778146123,445485.20739509986,30813770.365976267
28,0.0,42365.62197566075,17883.618803501096,54436.92884258553,14604.943029893966,21644.29774926787,10854.688047017724,445485.20739509986,30813770.365976267
29,0.0,42038.366780845055,21982.259553711498,48830.65279239194,18376.328585288677,21644.297749267866,10542.090437254194,445485.20739509986,30813770.365976267
30,0.0,39473.707275374596,18557.375127462,39473.707275374596,14344.019456127213,19687.062946709375,9620.022447920326,445485.20739509986,30813770.365976267
31,0.0,41439.065433832766,18001.65444867867,44424.31245652255,13796.422133243566,21644.29774926787,10119.467769219134,445485.20739509986,30813770.365976267
32,0.0,41744.2715197779,22085.542221578857,47342.91818333623,18185.51599208888,21644.29774926787,10698.00908792003,445485.20739509986,30813770.365976267
33,0.0,41631.03850644681,19160.97338350446,45484.990641137934,15147.71414068339,21644.29774926787,10099.418427385457,445485.20739509986,30813770.365976267
34,0.0,41821.35713038216,21105.270371620936,48476.706571048744,17282.32975273523,21644.29774926787,10521.50004640686,445485.20739509986,30813770.365976267
35,0.0,42149.7728046121,19722.312164921732,53292.69614014486,16227.787220265955,21644.297749267866,10723.666076763844,445485.20739509986,30813770.365976267
36,0.0,41905.57815835726,19999.6667449251,47020.304906177495,16260.947154014488,21644.29774926787,10003.733816181271,445485.20739509986,30813770.365976267
37,0.0,41993.1080836897,19086.702700993097,45143.80969335137,15435.513035414915,21644.297749267873,10321.059424146828,445485.20739509986,30813770.365976267
38,0.0,42036.04582201657,21106.430851035177,43679.284672580456,17498.17892378388,21644.29774926787,10435.338251023024,445485.20739509986,30813770.365976267
39,0.0,39405.23898993442,18886.04778419508,40107.329035549636,14010.05836732924,20281.22840680027,9620.423297544521,445485.20739509986,30813770.365976267
40,0.0,40241.94464760149,18263.167855219013,40257.03087998661,13787.543836265982,20717.56866655452,9856.03386676236,445485.20739509986,30813770.365976267
41,0.0,41389.16481902044,21136.60331580542,45290.03009954561,16881.47038555799,21644.29774926787,10146.644856179255,445485.20739509986,30813770.365976267
42,0.0,41775.60446396237,18609.412406665542,46380.880748931246,14740.719121360044,21644.29774926787,10249.867001564015,445485.20739509986,30813770.365976267
