Hour,Pb,Ppv,Pd,Ppvmax,Ps,Pc,SOC,SpotPrice,npv
1,0.0,0.0,2000.0,0.0,1000.0,0.0,19310.590313790493,204.6535851,30259297.804085962
2,0.0,0.0,2000.0,0.0,1000.0,0.0,17232.452325428065,295.6535851,30259297.804085962
3,0.0,0.0,2000.0,0.0,1000.0,0.0,15154.31433706564,295.6535851,30259297.804085962
4,0.0,0.0,2000.0,0.0,1000.0,0.0,13076.176348703211,222.6535851,30259297.804085962
5,0.0,0.0,2000.0,0.0,1000.0,0.0,10998.038360340784,250.2315851,30259297.804085962
6,0.0,0.0,2000.0,0.0,1000.0,0.0,8919.900371978358,250.2315851,30259297.804085962
7,0.0,0.0,2000.0,0.0,1000.0,0.0,6841.762383615929,204.6535851,30259297.804085962
8,0.0,0.0,1000.0,0.0,0.0,0.0,5802.693389434716,204.6535851,30259297.804085962
9,0.0,0.0,1762.2170615532482,0.0,762.2170615532481,0.0,3971.6282797576087,204.6535851,30259297.804085962
10,0.0,956.4439748526103,43.55602514738712,956.4439748526103,0.0,0.0,3926.3705645171813,204.6535851,30259297.804085962
11,0.0,2923.65968673002,0.0,2923.65968673002,1000.0,923.65968673002,4815.300647026161,204.6535851,30259297.804085962
12,0.0,4310.29587852976,0.0,4310.29587852976,1000.0,2310.2958785297596,7038.72940052324,204.6535851,30259297.804085962
13,0.0,4979.782934675802,0.0,4979.782934675802,1000.0,2979.7829346758017,9906.472496855306,204.6535851,30259297.804085962
14,0.0,5810.984215316457,0.0,5810.984215316457,1000.0,3810.9842153164573,13574.163705675863,204.6535851,30259297.804085962
15,0.0,5550.209721957583,0.0,5550.209721957583,1000.0,3550.2097219575826,16990.885542087955,231.8515851,30259297.804085962
16,0.0,4875.373504431109,0.0,4875.373504431109,1000.0,2875.373504431109,19758.145002752397,295.6535851,30259297.804085962
17,0.0,3694.288548837233,0.0,3694.288548837233,1000.0,1694.288548837233,21388.72830215334,295.6535851,30259297.804085962
18,0.0,1731.0461642460987,0.0,1731.0461642460987,731.0461642461014,0.0,21388.72830215334,295.6535851,30259297.804085962
19,0.0,0.0,1000.0,0.0,0.0,0.0,20349.659307972128,344.6535851,30259297.804085962
20,0.0,0.0,1663.585195452839,0.0,663.5851954528389,0.0,18621.079512198186,354.6535851,30259297.804085962
21,0.0,0.0,1000.0,0.0,0.0,0.0,17582.010518017003,354.6535851,30259297.804085962
22,0.0,0.0,1000.0,0.0,0.0,0.0,16542.94152383579,354.6535851,30259297.804085962
23,0.0,0.0,2000.0,0.0,1000.0,0.0,14464.803535473364,444.6535851,30259297.804085962
24,0.0,0.0,1000.0,0.0,0.0,0.0,13425.734541292148,354.6535851,30259297.804085962
25,0.0,0.0,1000.0,0.0,0.0,0.0,12386.665547110933,108.0499879,30259297.804085962
26,0.0,0.0,1000.0,0.0,0.0,0.0,11347.596552929721,108.0499879,30259297.804085962
